url_length,num_dots,num_special_chars,has_at_symbol,has_hyphen,is_ip,has_redirect,num_subdomains,is_shortened,url_entropy,has_suspicious_keyword,is_brand_spoofed,domain_age,domain_expiry,whois_private,https_used,result
67,2,9,0,0,0,1,0,0,4.117890309667014,0,0,-1,-1,-1,-1,0
58,1,7,0,0,0,1,0,0,3.839452332076449,0,0,488,242,1,0,0
100,2,5,0,0,0,1,0,0,5.147208660547244,1,0,646,84,1,0,0
43,2,5,0,0,0,1,0,0,4.056640266572305,1,0,4272,110,1,0,0
28,2,3,0,0,0,1,0,0,3.923251796980337,0,0,7233,256,1,-1,1
97,3,13,1,0,0,1,0,0,4.436794545240448,1,0,7980,785,1,0,0
22,2,3,0,0,0,1,0,0,3.572623663895164,0,0,5792,416,1,1,1
25,2,3,0,0,0,1,0,0,4.133660689688186,0,0,2008,184,1,0,0
48,2,3,0,0,0,1,0,0,4.016541406655651,0,0,10607,1447,1,1,1
26,1,3,0,0,0,1,0,0,4.026986833359287,0,0,184,180,1,0,0
147,3,22,0,0,0,1,0,0,4.888604722208065,0,0,-1,-1,-1,-1,1
84,2,10,0,0,0,1,0,0,5.14941708951795,0,0,10036,1285,1,1,0
72,1,6,0,0,0,1,0,0,4.6331860720798925,0,0,3969,48,1,0,0
36,2,3,0,0,0,1,0,0,4.495906598484245,0,0,-1,-1,1,-1,0
62,3,5,0,0,0,1,0,0,4.363819553384814,0,0,10526,66,1,1,1
52,3,6,0,0,0,1,0,0,4.603909910282364,0,0,7521,148,1,-1,1
32,2,3,0,0,0,1,0,0,3.9261085007312415,1,0,-1,-1,1,-1,0
48,1,4,0,0,0,1,0,0,4.1790470120677385,0,0,25,339,0,0,0
56,3,7,0,0,0,1,0,0,4.34058768121086,0,0,7294,10,1,1,1
57,3,6,0,0,0,1,0,0,4.240013040138931,0,0,-1,-1,1,0,0
42,2,5,0,0,0,1,0,0,4.177566232096525,0,0,2020,171,1,1,1
113,2,17,0,0,0,1,0,0,4.58194542324465,0,0,7000,304,1,1,1
62,4,7,0,0,0,1,0,0,4.692279682039657,0,0,-1,-1,-1,-1,0
87,3,10,0,0,0,1,0,0,4.8249187145785175,0,0,7758,277,1,1,1
47,2,5,0,0,0,1,0,0,4.189930011519816,0,0,-1,-1,1,-1,0
48,2,9,0,0,0,1,0,0,4.207067386399956,1,0,-1,-1,-1,-1,0
62,2,10,0,0,0,1,0,0,4.188067989639011,0,0,-1,-1,-1,-1,0
48,1,6,0,0,0,1,0,0,4.644974678246912,0,0,4209,173,1,1,0
54,3,6,0,0,0,1,1,0,4.639353595542588,0,0,7760,640,1,-1,1
31,2,3,0,0,0,1,0,0,3.719852358564604,0,0,-1,-1,-1,-1,0
32,2,4,0,0,0,1,0,0,3.913909765557392,0,0,7791,244,1,1,1
83,3,6,0,0,0,1,0,0,4.556344137364382,0,0,10677,279,1,1,1
63,3,7,0,0,0,1,0,0,4.347990988355564,1,0,-1,-1,-1,-1,0
82,3,8,0,0,0,1,0,0,4.205897701497168,0,0,7274,30,1,1,1
38,2,5,0,0,0,1,0,0,4.280693631807704,0,0,-1,-1,-1,-1,0
56,3,7,0,0,0,1,0,0,4.581833663430984,0,0,244,120,1,1,1
61,3,7,0,0,0,1,0,0,4.856806599787035,1,1,3492,160,1,0,0
52,3,6,0,0,0,1,0,0,4.248825420922553,0,0,5484,359,1,1,1
31,1,3,0,0,0,1,0,0,4.17146526179041,0,0,-1,-1,-1,-1,0
